epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5807,1.18231,3.68353,1.43628,0.0023,1,0.77832,0.55941,0.81978,3.33372,0.98507,0.000486208,0.000486208,0.000486208
2,70.4297,1.14573,3.44729,1.30733,0.0023,1,0.03531,0.02408,1.1493,3.61502,1.22507,0.00100062,0.00100062,0.00100062
3,104.49,1.23599,2.6717,1.28616,0.00219,0.95,0.27983,0.1645,1.43017,4.02732,1.52064,0.00147102,0.00147102,0.00147102
4,138.026,0.99764,2.63566,1.11702,0.29066,0.35,0.3686,0.24618,1.24588,3.29167,1.51369,0.00146896,0.00146896,0.00146896
5,170.398,1.05926,2.25442,1.22533,0.53335,0.67056,0.62139,0.30648,1.87484,4.0725,2.56018,0.00140295,0.00140295,0.00140295
6,204.728,1.07464,2.12504,1.16563,0.49221,0.65,0.73051,0.37485,1.63713,3.98499,3.03052,0.00133693,0.00133693,0.00133693
7,236.506,1.04213,1.94051,1.17177,0.55852,0.9,0.85852,0.5983,1.24575,3.43559,1.66454,0.00127092,0.00127092,0.00127092
8,268.746,1.04011,1.83117,1.1736,0.77501,0.60538,0.72673,0.41079,1.71578,3.80517,1.94189,0.00120491,0.00120491,0.00120491
9,300.277,0.93333,1.61977,1.05451,0.28934,0.57327,0.43678,0.14218,2.10341,3.60304,2.52859,0.00113889,0.00113889,0.00113889
10,332.114,0.95068,1.55503,1.09275,0.8272,0.73496,0.80669,0.53593,1.36185,2.87067,1.38265,0.00107288,0.00107288,0.00107288
11,361.162,0.96187,1.66904,1.0914,0.9843,0.88818,0.98212,0.71719,0.9247,1.93028,1.01673,0.00100687,0.00100687,0.00100687
12,389.696,0.88314,1.67618,1.08909,0.98832,1,0.995,0.76433,0.85029,1.55801,0.95193,0.000940855,0.000940855,0.000940855
13,418.67,0.844,1.42034,1.03021,0.95399,1,0.995,0.76373,0.83019,1.60637,0.98054,0.000874842,0.000874842,0.000874842
14,448.312,0.94933,1.59026,1.07983,0.93372,0.99372,0.995,0.77939,0.70299,1.48635,0.93048,0.000808828,0.000808828,0.000808828
15,477.938,0.8593,1.40956,1.05815,0.97931,1,0.995,0.82643,0.64982,1.30801,0.8891,0.000742815,0.000742815,0.000742815
16,508.697,0.7147,1.88114,1.04009,0.95698,1,0.995,0.84459,0.70398,1.30817,0.88298,0.000676802,0.000676802,0.000676802
17,540.844,0.58556,2.73298,0.83096,0.95805,0.9488,0.98667,0.84991,0.71316,1.40051,0.89293,0.000610789,0.000610789,0.000610789
18,575.641,0.62835,1.92728,0.93396,0.94389,0.99248,0.995,0.82988,0.69348,1.23435,0.88277,0.000544776,0.000544776,0.000544776
19,609.573,0.73139,1.65428,0.94034,0.97782,1,0.995,0.85645,0.67773,1.08949,0.86101,0.000478762,0.000478762,0.000478762
20,642.581,0.70058,1.6636,0.92322,0.98532,1,0.995,0.85024,0.66794,1.09496,0.85522,0.000412749,0.000412749,0.000412749
21,675.909,0.70268,1.58278,0.9329,0.99025,1,0.995,0.86107,0.63278,0.97896,0.84713,0.000346736,0.000346736,0.000346736
22,709.089,0.6239,1.54302,0.95025,0.99105,1,0.995,0.87057,0.61286,0.92557,0.83716,0.000280723,0.000280723,0.000280723
23,742.203,0.63121,1.53561,0.9162,0.99038,1,0.995,0.87394,0.62058,0.91042,0.82775,0.00021471,0.00021471,0.00021471
24,775.967,0.5969,1.5117,0.94833,0.98986,1,0.995,0.86305,0.60423,0.88344,0.81962,0.000148696,0.000148696,0.000148696
25,809.866,0.58908,1.50645,0.85708,0.9908,1,0.995,0.87239,0.58746,0.86468,0.81507,8.26832e-05,8.26832e-05,8.26832e-05
